方向,站序,站牌名稱,站牌ID,緯度,經度,預估時間
去程,1,林口站,2444601130,25.088879,121.386755,尚未發車
去程,2,竹林山觀音寺,2444801730,25.084765,121.389422,尚未發車
去程,3,鄉村別墅,2444802950,25.083628,121.391333,尚未發車
去程,4,歐風大街,2444804350,25.080159,121.388805,進站中
去程,5,林口農會,2444601620,25.078714,121.389865,進站中
去程,6,林口,2444601020,25.078431,121.393112,3分鐘
去程,7,醒吾科技大學,2444803120,25.078166,121.3960159,4分鐘
去程,8,粉寮路,2445201340,25.076726,121.3963579,5分鐘
去程,9,新生街口,2444904360,25.075973,121.3940716,6分鐘
去程,10,仁愛麗晶,2444900660,25.076524,121.390969,7分鐘
去程,11,林口區公所,2444902460,25.076704,121.388861,8分鐘
去程,12,松柏蘆,2444902160,25.076185,121.385517,進站中
去程,13,仁愛東湖路口,2444900560,25.074684,121.382833,進站中
去程,14,林口高中,2444902360,25.07399,121.380874,3分鐘
去程,15,運動公園,2444701260,25.07423,121.377132,4分鐘
去程,16,麗園一街,2444700940,25.071198,121.3766,6分鐘
去程,17,麗園一街(東勢市場),2444701340,25.069309,121.376983,7分鐘
去程,18,麗園國小,2444701460,25.068333,121.3756862,進站中
去程,19,忠孝路口C,2444700600,25.068819,121.3722966,進站中
去程,20,忠孝路口B,2444802160,25.070673,121.370375,進站中
去程,21,林口三井,2444801240,25.070496,121.3670383,3分鐘
去程,22,安敦新世界,2444801640,25.068083,121.364914,4分鐘
去程,23,文化二路一段郵局,2444800650,25.066587,121.364271,5分鐘
去程,24,華夏大飯店,3338000440,25.061961,121.364023,6分鐘
去程,25,醫學大樓,3338000640,25.060201,121.364726,8分鐘
去程,26,長庚醫院,3337500300,25.059529,121.3682941,進站中
去程,27,國道1號41Km(虛擬站不停靠),2439000020,25.06486,121.380368,6分鐘
去程,28,高公局,2434600520,25.066502,121.424462,10分鐘
去程,29,國道1號33Km(虛擬站不停靠),2481000020,25.069226,121.440814,進站中
去程,30,啟聰學校,1037100140,25.07451,121.5136892,進站中
去程,31,酒泉重慶路口,1037300120,25.071985,121.5143475,4分鐘
去程,32,大龍峒保安宮,1036700020,25.071954,121.5154577,5分鐘
去程,33,庫倫街,1037400220,25.07188,121.5180213,5分鐘
去程,34,庫倫街口,1036600040,25.071066,121.5183341,6分鐘
去程,35,民族承德路口,1036500040,25.067913,121.5182673,7分鐘
去程,36,大同國小,1036300040,25.064874,121.5181,9分鐘
去程,37,成淵高中,1035400140,25.061107,121.518101,進站中
去程,38,民生西路口,1035300140,25.056725,121.5179896,進站中
返程,1,臺北車站(鄭州),1035100420,25.048497,121.5171976,進站中
返程,2,後車站,1034900100,25.050269,121.5135627,5分鐘
返程,3,圓環(重慶),1035000300,25.052844,121.514207,6分鐘
返程,4,民生重慶路口,1035600000,25.056766,121.5138258,9分鐘
返程,5,涼州重慶路口,1035800300,25.060669,121.5135455,10分鐘
返程,6,捷運大橋頭站,1035900000,25.062704,121.513583,11分鐘
返程,7,昌吉重慶路口,1036300200,25.065794,121.5137575,進站中
返程,8,民族重慶路口,1036900000,25.068308,121.5137993,進站中
返程,9,酒泉重慶路口,1036900200,25.071809,121.5138317,3分鐘
返程,10,啟聰學校,1037100100,25.074282,121.5140862,5分鐘
返程,11,國道1號25Km(虛擬站不停靠),1039000060,25.078271,121.508908,6分鐘
返程,12,高公局,2434600560,25.067271,121.424034,進站中
返程,13,國道1號41Km(虛擬站不停靠),2439000060,25.065919,121.378936,8分鐘
返程,14,長庚醫院,3337500340,25.059661,121.3678435,4分鐘
返程,15,醫學大樓,3338000600,25.059811,121.365211,6分鐘
返程,16,華夏大飯店,3338000401,25.061326,121.364466,7分鐘
返程,17,文化二路一段郵局,2444800620,25.066515,121.364506,9分鐘
返程,18,安敦新世界,2444801600,25.068023,121.365217,9分鐘
返程,19,林口三井,2444801200,25.070378,121.3673052,10分鐘
返程,20,忠孝路口B,2444802120,25.071108,121.369491,12分鐘
返程,21,忠孝路口C,2444700640,25.068956,121.3718328,14分鐘
返程,22,麗園國小,2444701420,25.068204,121.3761482,17分鐘
返程,23,麗園一街(東勢市場),2444701300,25.069596,121.377114,18分鐘
返程,24,麗園一街,2444700900,25.070737,121.376864,19分鐘
返程,25,運動公園,2444701220,25.073864,121.3771859,21分鐘
返程,26,林口高中,2444902320,25.073847,121.38103,進站中
返程,27,仁愛東湖路口,2444100120,25.074674,121.383213,進站中
返程,28,松柏蘆,2444902120,25.076093,121.385794,4分鐘
返程,29,林口區公所,2444902420,25.07654,121.388861,5分鐘
返程,30,仁愛麗晶,2444900620,25.076308,121.391375,6分鐘
返程,31,新生街口,2444904320,25.075892,121.3939165,7分鐘
返程,32,粉寮路,2444903400,25.076396,121.396482,8分鐘
返程,33,醒吾科技大學,2444602560,25.078518,121.3951577,10分鐘
返程,34,林口,2444601060,25.07867,121.393094,11分鐘
返程,35,林口農會,2444601660,25.078765,121.3913393,11分鐘
返程,36,歐風大街,2444804320,25.080194,121.389083,進站中
返程,37,鄉村別墅,2444802910,25.083643,121.391454,4分鐘
返程,38,竹林山觀音寺,2444801770,25.08507,121.389033,5分鐘
返程,39,林口站,2444601130,25.088879,121.386755,8分鐘
