公車名稱,站牌名稱
38區,西園29服飾基地
38區,華江高中(西園)
38區,環南市場(西藏)
38區,雙園國中
39,捷運善導寺站
39,成功中學(林森)
39,立法院
39,臺北車站(忠孝)
39,重安街口
39,中正南路
39,大同路口
39,正義重新路口
39,永德里
39,格致中學(自強路)
39,三和國中
39,捷運三和國中站
39,建和新村
39,幸福市場
39,徐匯中學
39夜,捷運善導寺站
39夜,成功中學(林森)
39夜,立法院
39夜,臺北車站(忠孝)
39夜,重安街口
39夜,中正南路
39夜,大同路口
39夜,正義重新路口
39夜,永德里
39夜,格致中學(自強路)
39夜,三和國中
39夜,捷運三和國中站
39夜,建和新村
39夜,幸福市場
39夜,徐匯中學
41,捷運大安站(復興)
41,東豐復興路口
41,聯合醫院仁愛院區
41,捷運忠孝復興站
41,復興南路(中崙里)
41,長安復興路口
41,長安龍江路口
41,中山女高
41,民權中山路口
41,捷運民權西路站
41,大龍街口
41,昌吉重慶路口
41,民族重慶路口
41,酒泉重慶路口
41,大龍峒保安宮
41,士林區行政中心(基河)
41,天文科學館
41,國立科教館
41,兒童新樂園
41,中鼎第二總部大樓
41,福美承平路口
41,三王宮
42,後車站
42,圓環(重慶)
42,朝陽公園(鈕釦街)
42,靜修女中
42,雙連市場
42,捷運雙連站
42,馬偕醫院
42,台泥大樓(馬偕醫院)
42,空軍司令部
42,通北街口
42,圓山新城一
42,力行新村
42,圓山新城二
42,通北街口
42,大直高中
42,敬業四路
42,大直美堤花園二
42區,臺北市立美術館
42區,圓山大飯店
42區,中央電台
42區,忠烈祠
42區,經國七海文化園區
42區,空軍司令部
42區,通北街口
42區,圓山新城一
42區,自強隧道(大直教會)
42區,自強隧道
42區,捷運劍南路站
42區,美麗華
42區,敬業四路
42區,大直美堤花園二
46,圓環(重慶)
46,圓環(南京)
46,捷運中山站(志仁高中)
46,南京林森路口
46,南京吉林路口
46,捷運松江南京站
46,南京建國路口
46,南京龍江路口
46,興雅國小
46,國民住宅
46,永吉松山路口
46,雙永國小
46,永春里(忠孝)
46,春光公園
46,忠孝大道路口
46,信義松仁路口(松仁)
46,興雅國中
46,市政府(松智)
46,捷運象山站
46,松德站
49,華中河濱公園
49,果菜市場
49,萬大國小
49,德昌街口
49,西藏路口
49,萬大路
49,莒光路口
49,萬華車站
49,博愛路
49,臺北郵局
49,臺北車站(忠孝)
49,行政院
49,青島林森路口
49,北平林森路口
49,華山公園
49,民權建國路口
49,民權龍江路口
49,民權復興路口
49,五常街口
49,下埤里
49,第二果菜市場
49,臺北漁市
51,秀山國小
51,自立路
51,民生路
51,秀朗國小
51,得和路
51,得和路口
51,永和國小
51,福和里
51,中山路口
51,永平高中
51,保生路口
51,佳和公園
51,南山高中(中山路)
51,廟美里
51,一江新村
51,松下電子
51,自來水公司
51,長壽里
51,埔墘(中山路)
51,埔墘國小
51,中山民生路口
51,西安里
51,捷運亞東醫院站
51,亞東科技大學(南雅南路)
51,南雅站
52,後車站
52,圓環(重慶)
52,圓環(南京)
52,捷運中山站(志仁高中)
52,南京林森路口
52,南京新生北路口
52,長安新生北路口
52,長安國小(長安)
52,忠孝敦化路口
52,仁愛敦化路口
52,信義敦化路口
52,大安國中
52,成功國宅
52,鳳雛公園
52,臥龍街
52,捷運公館站
52,師大分部
52,武功國小(興隆)
52,景明街口
53,富泰里
53,三民健康路口(西松高中)
53,西松國小
53,南京公寓(捷運南京三民)
53,南松山(南京)
53,饒河街觀光夜市(塔悠)
