route_id,route_name,is_processed
0100075600,756,True
0100150400,757,True
0100150300,758,True
0400076000,760,True
0400077800,778,True
0400077900,779,True
0400078000,780,True
0400078100,781,True
0400078200,782,True
0400078300,783,True
0400078500,785,True
0400078600,786,True
0400078620,786區,True
0400078700,787,True
0400078770,787經瑞芳工業區,True
0400078800,788,True
0461078820,788區,True
0400078870,788海科館,True
0400078900,789,True
0400078920,789區,True
0400079000,790,True
0400079070,790漁港,True
0400079100,791,True
0400079120,791區,True
0400079170,791繞貢寮,True
0400079190,791經貢寮區衛生,True
0400079300,793,True
0400079570,795往木柵(台灣好行-木柵平溪線),True
0400079580,795往平溪(台灣好行-木柵平溪線),True
0400079500,795往十分寮(台灣好行-木柵平溪線),True
0400079600,796,True
0400079700,797,True
0400079900,799,True
0400080000,800,True
0400080100,801,True
0400080200,802,True
0400080220,802區,True
0400080300,803,False
0400080500,805,False
0400080600,806,False
0400080700,807,False
0400080800,808,False
0400081000,810,False
0400081100,811,False
0400081200,812,False
0400081300,813,False
0400081320,813區,False
0400081500,815,False
0400081600,816,False
0400081700,817,False
0400081900,819,False
0400081910,819副,False
0400082000,820,False
0400082100,821,False
0400082200,822,False
0400082300,823,False
0400082400,824,False
0400082500,825,False
0400082600,826,False
0400082700,827,False
0400083500,835,False
0400083600,836,False
0400083700,837,False
0400083710,837副,False
0400083720,837區,False
0400083800,838,False
0400083900,839,False
0400083970,839耕莘,False
0400084200,842,False
0400084300,843,False
0400084500,845,False
0400084600,846,False
0400084700,847,False
0400084720,847區,False
0400084800,848,False
0400084900,849,False
0400084970,849屈尺社區,False
0400085100,851,False
0400085200,852,False
0400085400,854,False
0400085600,856(台灣好行-黃金福隆線),False
0400085700,857,False
0400085800,858,False
0400085900,859,False
0400086000,860,False
0400086100,861,False
0400086200,862,False
0400086300,863,False
0400086400,864,False
0400086500,865,False
0400086600,866,False
0400086700,867,False
0400086720,867區,False
0400086800,868,False
0400086900,869,False
0400087000,870,False
0400087100,871,False
0400087170,871經中山北路,False
0400087200,872,False
0400087270,872經正德國中、直行中山北路,False
0400087300,873,False
0400087370,873經正德國中,False
0400087400,874,False
0400087500,875,False
0400087600,876,False
0400087700,877,False
0400087800,878,False
0400087820,878區,False
0400087900,879,False
0400088000,880,False
0400088100,881,False
0400088200,882,False
0400088300,883,False
0400088500,885,False
0400088600,886,False
0400088620,886區,False
0400088900,889,False
0400089000,890,False
0400089100,891,False
0400089400,894,False
0400089500,895,False
0400089600,896,False
0400089700,897,False
0400089720,897區,False
0400089800,898,False
0400089900,899,False
0100090200,902,False
0100090220,902區,False
0100090300,903,False
0100090500,905,False
0100090510,905副,False
0400090600,906,False
0100090700,907,False
0100090790,907通勤,False
0400090800,908,False
0400090870,908延,False
0400090900,909,False
0400091000,910,False
0100091200,912,False
0400091300,913,False
0100091500,915,False
0400091600,916,False
0400091700,917,False
0400091800,918,False
0400091820,918區,False
0400091900,919,False
0400092000,920,False
0400092010,920副,False
0400092080,920A,False
0400092100,921,False
0400092200,922,False
0400092300,923,False
0400092500,925,False
0400092580,925A,False
0400092700,927,False
0400092790,927經台北港,False
0400092800,928,False
0400093000,930,False
0400093070,930延,False
0400093200,932,False
0400093270,932繞國家教育研究院,False
0400093300,933,False
0400093500,935,False
0400093600,936,False
0400093680,936A,False
0400093700,937,False
0400093710,937副,False
0400093780,937A,False
0400093800,938,False
0400093900,939,False
0400093910,939副,False
0463093900,939跳蛙,False
0400094000,940,False
0400094100,941,False
0400094300,943,False
0400094500,945,False
0400094600,946,False
0400094610,946副,False
0400094700,947,False
0400094800,948,False
0100094900,949,False
0100095000,950,False
0400095100,951,False
0400095200,952,False
0400095300,953,False
0400095320,953區,False
0100095500,955,False
0100095700,957,False
0415002700,958,False
0415002800,959,False
0415002900,960,False
0400096300,963,False
0400096500,965(台灣好行-九份金瓜石線),False
0400096600,966,False
0400096610,966副,False
0400096680,966A,False
0400096700,967,False
0400096710,967副,False
0400096730,967直,False
0410098100,981,False
0410098200,982,False
0410098220,982區,False
0410098230,982直達,False
0410098240,982直達新埔線,False
0400098300,983,False
0100171700,1717,False
0100000B00,0南,False
0100000100,1,False
0400000800,8,False
0100000900,9,False
0100001200,12,False
0100001400,14,False
0100002000,20,False
0100002100,21,False
0100002200,22,False
0100003300,33,False
0100003900,39,False
0100003940,39夜,False
0100004100,41,False
0100004900,49,False
0400005100,51,False
0400005700,57,False
0400006200,62,False
0100006300,63,False
0100006600,66,False
0100007200,72,False
0100008800,88,False
0100008820,88區,False
0400009900,99,False
0100020200,202,False
0100020220,202區,False
0100020300,203,False
0100020400,204,False
0100020500,205,False
0100020600,206,False
0100020700,207,False
0100020800,208,False
0100020820,208區,False
0100020830,208直,False
0100021200,212,False
0100021230,212直,False
0100021400,214,False
0100021430,214直,False
0100021500,215,False
0100022400,224,False
0100022600,226,False
0100022700,227,False
0400023100,231,False
0100023400,234,False
0100023500,235,False
0100023620,236區,False
0400024100,241,False
0400024300,243,False
0400024500,245,False
0100024600,246,False
0100024700,247,False
0100024720,247區,False
0400024900,249,False
0100025300,253,False
0100026000,260,False
0100026200,262,False
0100026220,262區,False
0400026400,264,False
0100026700,267,False
0100026800,268,False
0100027000,270,False
0100027020,270區,False
0400027500,275,False
0100027600,276,False
0100027700,277,False
0100027800,278,False
0100027820,278區,False
0100028000,280,False
0100028030,280直,False
0100028100,281,False
0100028200,282,False
0100028400,284,False
0100028720,287區,False
